Date,Coal Electric Power Sector CO2 Emissions,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Geothermal Energy Electric Power Sector CO2 Emissions,Natural Gas Electric Power Sector CO2 Emissions,Non-Biomass Waste Electric Power Sector CO2 Emissions,Petroleum Coke Electric Power Sector CO2 Emissions,Petroleum Electric Power Sector CO2 Emissions,Residual Fuel Oil Electric Power Sector CO2 Emissions,Total Energy Electric Power Sector CO2 Emissions
1973-01-01,72.076,2.375,,12.175,,0.128,27.369,24.867,111.621
1973-02-01,64.442,2.061,,11.708,,0.106,23.034,20.867,99.185
1973-03-01,64.084,1.171,,13.994,,0.083,21.034,19.78,99.112
1973-04-01,60.842,1.022,,14.627,,0.13,17.714,16.562,93.183
1973-05-01,61.798,0.949,,17.344,,0.167,18.87,17.754,98.012
1973-06-01,66.538,1.787,,20.265,,0.171,22.856,20.899,109.66
1973-07-01,72.626,1.965,,23.067,,0.15,25.242,23.127,120.935
1973-08-01,75.181,2.536,,22.85,,0.166,27.158,24.456,125.189
1973-09-01,68.397,1.432,,19.297,,0.116,23.758,22.21,111.452
1973-10-01,67.668,1.473,,17.897,,0.102,23.726,22.151,109.291
1973-11-01,67.021,1.537,,13.766,,0.087,22.837,21.213,103.624
1973-12-01,71.118,1.606,,11.866,,0.152,22.104,20.346,105.089
1974-01-01,70.55,1.835,,11.959,,0.183,23.021,21.003,105.53
1974-02-01,62.929,1.837,,11.021,,0.148,19.977,17.992,93.928
1974-03-01,64.519,1.868,,13.86,,0.156,19.478,17.454,97.857
1974-04-01,60.544,1.669,,14.105,,0.11,17.644,15.865,92.293
1974-05-01,64.687,1.927,,16.676,,0.093,19.993,17.973,101.357
1974-06-01,64.736,1.68,,18.859,,0.08,20.224,18.464,103.819
1974-07-01,73.698,2.544,,21.984,,0.096,24.52,21.88,120.201
1974-08-01,72.559,2.029,,20.748,,0.098,24.021,21.894,117.328
1974-09-01,63.221,1.622,,17.027,,0.093,21.909,20.194,102.157
